Title,URL,Published_Date,Source,fraud_percentage,fraud_risk_level,entity_name
"Gemini is officially replacing Google Assistant , here what that means for you",https://www.androidpolice.com/google-assistant-gemini-transition-explained/,20250323T124500Z,,5.0,Minimal,Google
Is Waze the next app to make its way to the Google Graveyard ? ,https://www.androidpolice.com/should-google-kill-off-waze/,20250323T124500Z,,5.0,Minimal,Google
"구글 , 폴란드 기업에 8천200억 규모 소송 당해",https://zdnet.co.kr/view/?no=20241225001646,20241225T050000Z,,5.0,Minimal,Google
"Download Google Slides ( free ) for Android , APK , iOS and Web App",https://gizmodo.com/download/google-slides,20250324T153000Z,,5.0,Minimal,Google
"로봇이 종이로 여우 접는다 , 구글 딥마인드 손재주 갖춘 로봇 AI 모델 공개",https://www.fnnews.com/news/202503130722232080,20250313T024500Z,,5.0,Minimal,Google
"구글 , 스타트업  위즈  인수에  46조원  써 ... 역대 최대 규모",https://www.insight.co.kr/news/496294,20250324T093000Z,,5.0,Minimal,Google
Google admits it accidentally deleted Maps timeline : Here how you can restore the deleted data,https://timesofindia.indiatimes.com/technology/tech-news/google-admits-it-accidentally-deleted-maps-timeline-heres-how-you-can-restore-the-deleted-data/articleshow/119369002.cms,20250323T073000Z,,5.0,Minimal,Google
"Google TV Streamer : Price , specs , news , features , and release date",https://www.androidpolice.com/google-tv-streamer/,20241225T173000Z,,5.0,Minimal,Google
ourplay怎么登录谷歌账号 - ourplay登录谷歌账号教程 _ 3DM手游,https://shouyou.3dmgame.com/gl/563398.html,20250306T050000Z,,5.0,Minimal,Google
Google is bringing a lot more Android games to PCs,https://www.theverge.com/news/628323/google-play-games-android-mobile,20250313T161500Z,,5.0,Minimal,Google
Google sues network of scammers for thousands of fake Maps listings,https://www.androidheadlines.com/2025/03/google-sues-network-of-scammers-for-thousands-of-fake-maps-listings.html,20250324T144500Z,,5.0,Minimal,Google
Google is officially dumping Assistant for Gemini,https://www.theverge.com/news/629904/google-assistant-gemini-moving-on,20250314T180000Z,,5.0,Minimal,Google
Google Wallet Likely To Reach Pakistan Soon,https://www.urdupoint.com/en/technology/google-wallet-likely-to-reach-pakistan-soon-1899322.html,20241225T134500Z,,5.0,Minimal,Google
Google under fire as Trump administration pushes to sell off Chrome,https://www.moneycontrol.com/technology/google-under-fire-as-trump-administration-pushes-to-sell-off-chrome-article-12959809.html,20250309T040000Z,,5.0,Minimal,Google
5 reasons I ditched Microsoft Office for Google Workspace,https://www.androidpolice.com/reasons-i-use-google-workspace-not-microsoft-365/,20250309T043000Z,,5.0,Minimal,Google
বিশ্বে মোট ইন্টারনেট ও গুগল ব্যবহারকারীর সংখ্যা কত ? ,https://www.jugantor.com/tech/927976,20250312T051500Z,,5.0,Minimal,Google
İmamoğlu kararı tepki çeken Googledan geri adım,https://www.haberler.com/politika/imamoglu-karari-tepki-ceken-google-dan-geri-adim-18469825-haberi/,20250324T081500Z,,5.0,Minimal,Google
Google User Data Purge Underway What You Need To Know,https://www.forbes.com/sites/daveywinder/2024/12/25/google-user-data-purge-warning-confirmed-what-you-need-to-know/,20241225T130000Z,,5.0,Minimal,Google
Google Reverses PragerU Censorship a Month Before Trump Return,https://www.newsbusters.org/blogs/free-speech/tom-olohan/2024/12/27/google-reverses-outrageous-prageru-censorship-decision,20241228T000000Z,,5.0,Minimal,Google
Top Sites To Buy Google Reviews,https://www.dnaindia.com/technology/report-top-sites-to-buy-google-reviews-3124256,20241226T151500Z,,5.0,Minimal,Google
